"site","caldate","nObs"
"MWoolf_east",2019-06-15,47
"MWoolf_east",2019-06-16,47
"MWoolf_east",2019-06-17,48
"MWoolf_east",2019-06-18,48
"MWoolf_east",2019-06-19,48
"MWoolf_east",2019-06-20,48
"MWoolf_east",2019-06-21,45
"MWoolf_east",2019-06-22,48
"MWoolf_east",2019-06-23,48
"MWoolf_east",2019-06-24,48
"MWoolf_east",2019-06-25,48
"MWoolf_east",2019-06-26,46
"MWoolf_east",2019-06-27,48
"MWoolf_east",2019-06-28,43
"MWoolf_east",2019-06-29,49
"MWoolf_east",2019-06-30,48
"MWoolf_east",2019-07-01,48
"MWoolf_east",2019-07-02,48
"MWoolf_east",2019-07-03,49
"MWoolf_east",2019-07-04,47
"MWoolf_east",2019-07-05,47
"MWoolf_east",2019-07-06,48
"MWoolf_east",2019-07-07,48
"MWoolf_east",2019-07-08,48
"MWoolf_east",2019-07-09,48
"MWoolf_east",2019-07-10,46
"MWoolf_east",2019-07-11,47
"MWoolf_east",2019-07-12,48
"MWoolf_east",2019-07-13,48
"MWoolf_east",2019-07-14,49
"MWoolf_east",2019-07-15,48
"MWoolf_east",2019-07-16,48
"MWoolf_east",2019-07-17,49
"MWoolf_east",2019-07-18,48
"MWoolf_east",2019-07-19,47
"MWoolf_east",2019-07-20,47
"MWoolf_east",2019-07-21,48
"MWoolf_east",2019-07-22,48
"MWoolf_east",2019-07-23,49
"MWoolf_east",2019-07-24,48
"MWoolf_east",2019-07-25,48
"MWoolf_east",2019-07-26,47
"MWoolf_east",2019-07-27,47
"MWoolf_east",2019-07-28,48
"MWoolf_east",2019-07-29,48
"MWoolf_east",2019-07-30,46
"MWoolf_east",2019-07-31,44
"MWoolf_east",2019-08-04,45
"MWoolf_east",2019-08-08,46
"MWoolf_east",2019-08-09,50
"MWoolf_east",2019-08-10,46
"MWoolf_east",2019-08-11,49
"MWoolf_east",2019-08-12,45
"MWoolf_east",2019-08-13,43
"MWoolf_east",2019-08-15,48
"MWoolf_east",2019-08-16,49
"MWoolf_east",2019-08-17,46
"MWoolf_east",2019-08-18,48
"MWoolf_east",2019-08-20,43
"MWoolf_east",2019-08-21,48
"MWoolf_east",2019-08-22,46
"MWoolf_east",2019-08-23,48
"MWoolf_east",2019-08-24,47
"MWoolf_east",2019-08-25,48
"MWoolf_east",2019-08-26,43
"MWoolf_east",2019-08-27,48
"MWoolf_east",2019-08-28,47
"MWoolf_east",2019-09-01,45
"MWoolf_east",2019-09-03,44
"MWoolf_east",2019-09-04,44
"MWoolf_east",2019-09-14,46
"MWoolf_east",2019-09-15,43
"MWoolf_east",2019-09-16,43
"MWoolf_east",2019-09-17,47
"MWoolf_east",2019-09-18,47
"MWoolf_east",2019-09-19,48
"MWoolf_east",2019-09-20,46
"MWoolf_east",2019-09-21,46
"MWoolf_east",2019-09-22,48
"MWoolf_east",2019-09-23,44
"MWoolf_east",2019-09-24,43
"MWoolf_east",2019-09-25,44
"MWoolf_east",2019-09-30,47
"MWoolf_east",2019-10-01,43
"MWoolf_east",2019-10-03,43
"MWoolf_east",2019-10-04,45
"MWoolf_east",2019-10-15,46
"MWoolf_east",2019-10-16,46
"MWoolf_east",2019-10-17,47
"MWoolf_east",2019-10-18,46
"MWoolf_east",2019-10-19,47
"MWoolf_east",2019-10-20,44
"MWoolf_east",2019-10-21,44
"MWoolf_east",2019-10-22,45
"MWoolf_east",2019-10-23,46
"MWoolf_east",2019-10-24,44
"MWoolf_east",2019-10-25,43
"MWoolf_east",2019-10-26,46
"MWoolf_east",2019-10-27,45
"MWoolf_east",2019-10-28,47
"MWoolf_east",2019-10-29,49
"MWoolf_east",2019-10-30,48
"MWoolf_west",2019-05-31,47
"MWoolf_west",2019-06-01,48
"MWoolf_west",2019-06-02,48
"MWoolf_west",2019-06-03,47
"MWoolf_west",2019-06-04,49
"MWoolf_west",2019-06-05,47
"MWoolf_west",2019-06-06,49
"MWoolf_west",2019-06-07,48
"MWoolf_west",2019-06-08,48
"MWoolf_west",2019-06-09,48
"MWoolf_west",2019-06-10,48
"MWoolf_west",2019-06-11,48
"MWoolf_west",2019-06-12,48
"MWoolf_west",2019-06-13,48
"MWoolf_west",2019-06-14,48
"MWoolf_west",2019-06-15,48
"MWoolf_west",2019-06-16,48
"MWoolf_west",2019-06-17,48
"MWoolf_west",2019-06-18,48
"MWoolf_west",2019-06-19,49
"MWoolf_west",2019-06-20,48
"MWoolf_west",2019-06-21,48
"MWoolf_west",2019-06-22,47
"MWoolf_west",2019-06-23,48
"MWoolf_west",2019-06-24,48
"MWoolf_west",2019-06-25,48
"MWoolf_west",2019-06-26,47
"MWoolf_west",2019-06-27,48
"MWoolf_west",2019-06-28,48
"MWoolf_west",2019-06-29,47
"MWoolf_west",2019-06-30,49
"MWoolf_west",2019-07-01,48
"MWoolf_west",2019-07-02,48
"MWoolf_west",2019-07-03,49
"MWoolf_west",2019-07-04,48
"MWoolf_west",2019-07-05,47
"MWoolf_west",2019-07-06,47
"MWoolf_west",2019-07-07,48
"MWoolf_west",2019-07-08,49
"MWoolf_west",2019-07-09,50
"MWoolf_west",2019-07-10,48
"MWoolf_west",2019-07-11,48
"MWoolf_west",2019-07-12,49
"MWoolf_west",2019-07-13,48
"MWoolf_west",2019-07-14,49
"MWoolf_west",2019-07-15,49
"MWoolf_west",2019-07-16,48
"MWoolf_west",2019-07-17,49
"MWoolf_west",2019-07-18,48
"MWoolf_west",2019-07-19,47
"MWoolf_west",2019-07-20,48
"MWoolf_west",2019-07-21,48
"MWoolf_west",2019-07-22,49
"MWoolf_west",2019-07-23,49
"MWoolf_west",2019-07-24,47
"MWoolf_west",2019-07-25,48
"MWoolf_west",2019-07-26,48
"MWoolf_west",2019-07-27,48
"MWoolf_west",2019-07-28,49
"MWoolf_west",2019-07-29,48
"MWoolf_west",2019-07-30,48
"MWoolf_west",2019-07-31,48
"MWoolf_west",2019-08-01,48
"MWoolf_west",2019-08-02,49
"MWoolf_west",2019-08-03,48
"MWoolf_west",2019-08-04,48
"MWoolf_west",2019-08-05,48
"MWoolf_west",2019-08-06,48
"MWoolf_west",2019-08-07,49
"MWoolf_west",2019-08-08,48
"MWoolf_west",2019-08-09,50
"MWoolf_west",2019-08-10,47
"MWoolf_west",2019-08-11,47
"MWoolf_west",2019-08-12,48
"MWoolf_west",2019-08-13,47
"MWoolf_west",2019-08-14,50
"MWoolf_west",2019-08-15,48
"MWoolf_west",2019-08-16,48
"MWoolf_west",2019-08-17,48
"MWoolf_west",2019-08-18,47
"MWoolf_west",2019-08-19,49
"MWoolf_west",2019-08-20,49
"MWoolf_west",2019-08-21,48
"MWoolf_west",2019-08-22,48
"MWoolf_west",2019-08-23,51
"MWoolf_west",2019-08-24,48
"MWoolf_west",2019-08-25,47
"MWoolf_west",2019-08-26,47
"MWoolf_west",2019-08-27,48
"MWoolf_west",2019-08-28,48
"MWoolf_west",2019-08-29,50
"MWoolf_west",2019-08-30,48
"MWoolf_west",2019-08-31,48
"MWoolf_west",2019-09-01,47
"MWoolf_west",2019-09-02,48
"MWoolf_west",2019-09-03,47
"MWoolf_west",2019-09-04,49
"MWoolf_west",2019-09-05,48
"MWoolf_west",2019-09-06,50
"MWoolf_west",2019-09-07,48
"MWoolf_west",2019-09-08,48
"MWoolf_west",2019-09-09,45
"MWoolf_west",2019-09-11,48
"MWoolf_west",2019-09-12,49
"MWoolf_west",2019-09-13,49
"MWoolf_west",2019-09-14,47
"MWoolf_west",2019-09-15,48
"MWoolf_west",2019-09-16,47
"MWoolf_west",2019-09-17,48
"MWoolf_west",2019-09-18,48
"MWoolf_west",2019-09-19,49
"MWoolf_west",2019-09-20,48
"MWoolf_west",2019-09-21,47
"MWoolf_west",2019-09-22,48
"MWoolf_west",2019-09-23,49
"MWoolf_west",2019-09-24,48
"MWoolf_west",2019-09-25,49
"MWoolf_west",2019-09-26,45
"MWoolf_west",2019-09-27,47
"MWoolf_west",2019-09-28,43
"MWoolf_west",2019-09-29,48
"MWoolf_west",2019-09-30,49
"MWoolf_west",2019-10-01,49
"MWoolf_west",2019-10-02,48
"MWoolf_west",2019-10-03,48
"MWoolf_west",2019-10-04,48
"MWoolf_west",2019-10-05,47
"MWoolf_west",2019-10-06,48
"MWoolf_west",2019-10-07,49
"MWoolf_west",2019-10-08,48
"MWoolf_west",2019-10-09,44
"MWoolf_west",2019-10-10,44
"MWoolf_west",2019-10-11,46
"MWoolf_west",2019-10-12,48
"MWoolf_west",2019-10-13,48
"MWoolf_west",2019-10-14,47
"MWoolf_west",2019-10-15,49
"MWoolf_west",2019-10-16,47
"MWoolf_west",2019-10-17,49
"MWoolf_west",2019-10-18,47
"MWoolf_west",2019-10-19,47
"MWoolf_west",2019-10-20,46
"MWoolf_west",2019-10-21,48
"MWoolf_west",2019-10-22,45
"MWoolf_west",2019-10-23,48
"MWoolf_west",2019-10-24,45
"MWoolf_west",2019-10-25,48
"MWoolf_west",2019-10-26,48
"MWoolf_west",2019-10-27,48
"MWoolf_west",2019-10-28,49
"MWoolf_west",2019-10-29,47
"MWoolf_west",2019-10-30,48
"Perez",2019-06-15,48
"Perez",2019-06-16,48
"Perez",2019-06-17,48
"Perez",2019-06-18,49
"Perez",2019-06-19,47
"Perez",2019-06-20,48
"Perez",2019-06-21,47
"Perez",2019-06-22,49
"Perez",2019-06-23,48
"Perez",2019-06-24,48
"Perez",2019-06-25,48
"Perez",2019-06-26,47
"Perez",2019-06-27,47
"Perez",2019-06-28,48
"Perez",2019-06-29,48
"Perez",2019-06-30,48
"Perez",2019-07-01,48
"Perez",2019-07-02,47
"Perez",2019-07-03,48
"Perez",2019-07-04,48
"Perez",2019-07-05,48
"Perez",2019-07-06,48
"Perez",2019-07-07,48
"Perez",2019-07-08,48
"Perez",2019-07-09,51
"Perez",2019-07-10,49
"Perez",2019-07-11,48
"Perez",2019-07-12,47
"Perez",2019-07-13,48
"Perez",2019-07-14,49
"Perez",2019-07-15,49
"Perez",2019-07-16,48
"Perez",2019-07-17,47
"Perez",2019-07-18,48
"Perez",2019-07-19,48
"Perez",2019-07-20,48
"Perez",2019-07-21,48
"Perez",2019-07-22,48
"Perez",2019-07-23,48
"Perez",2019-07-24,47
"Perez",2019-07-25,48
"Perez",2019-07-26,48
"Perez",2019-07-27,48
"Perez",2019-07-28,49
"Perez",2019-07-29,48
"Perez",2019-07-30,48
"Perez",2019-07-31,48
"Perez",2019-08-01,48
"Perez",2019-08-02,48
"Perez",2019-08-03,48
"Perez",2019-08-04,47
"Perez",2019-08-05,48
"Perez",2019-08-06,49
"Perez",2019-08-07,49
"Perez",2019-08-08,47
"Perez",2019-08-09,48
"Perez",2019-08-10,48
"Perez",2019-08-11,48
"Perez",2019-08-12,49
"Perez",2019-08-13,48
"Perez",2019-08-14,49
"Perez",2019-08-15,48
"Perez",2019-08-16,48
"Perez",2019-08-17,48
"Perez",2019-08-18,49
"Perez",2019-08-19,48
"Perez",2019-08-20,49
"Perez",2019-08-21,48
"Perez",2019-08-22,48
"Perez",2019-08-23,49
"Perez",2019-08-24,48
"Perez",2019-08-25,49
"Perez",2019-08-26,48
"Perez",2019-08-27,48
"Perez",2019-08-28,47
"Perez",2019-08-29,48
"Perez",2019-08-30,48
"Perez",2019-08-31,48
"Perez",2019-09-01,47
"Perez",2019-09-02,48
"Perez",2019-09-03,48
"Perez",2019-09-04,47
"Perez",2019-09-05,47
"Perez",2019-09-06,49
"Perez",2019-09-07,47
"Perez",2019-09-08,47
"Perez",2019-09-09,48
"Perez",2019-09-11,48
"Perez",2019-09-12,48
"Perez",2019-09-13,48
"Perez",2019-09-14,48
"Perez",2019-09-15,48
"Perez",2019-09-16,47
"Perez",2019-09-17,48
"Perez",2019-09-18,48
"Perez",2019-09-19,48
"Perez",2019-09-20,48
"Perez",2019-09-21,47
"Perez",2019-09-22,47
"Perez",2019-09-23,47
"Perez",2019-09-24,48
"Perez",2019-09-25,48
"Perez",2019-09-26,44
"Perez",2019-09-27,48
"Perez",2019-09-29,47
"Perez",2019-09-30,48
"Perez",2019-10-01,49
"Perez",2019-10-02,48
"Perez",2019-10-03,48
"Perez",2019-10-04,48
"Perez",2019-10-05,48
"Perez",2019-10-06,48
"Perez",2019-10-07,48
"Perez",2019-10-08,48
"Perez",2019-10-09,48
"Perez",2019-10-10,48
"Perez",2019-10-11,48
"Perez",2019-10-12,48
"Perez",2019-10-13,48
"Perez",2019-10-14,47
"Perez",2019-10-15,48
"Perez",2019-10-16,48
"Perez",2019-10-17,48
"Perez",2019-10-18,48
"Perez",2019-10-19,48
"Perez",2019-10-20,48
"Perez",2019-10-21,47
"Perez",2019-10-22,48
"Perez",2019-10-23,47
"Perez",2019-10-24,48
"Perez",2019-10-25,48
"Perez",2019-10-26,48
"Perez",2019-10-27,48
"Perez",2019-10-28,50
"Perez",2019-10-29,48
"Perez",2019-10-30,48
"Perez",2019-10-31,48
"Perez",2019-11-01,48
"Perez",2019-11-02,48
"Perez",2019-11-03,48
"UCKearney",2019-05-31,47
"UCKearney",2019-06-01,48
"UCKearney",2019-06-02,48
"UCKearney",2019-06-03,48
"UCKearney",2019-06-04,48
"UCKearney",2019-06-05,48
"UCKearney",2019-06-06,49
"UCKearney",2019-06-07,47
"UCKearney",2019-06-08,48
"UCKearney",2019-06-09,48
"UCKearney",2019-06-10,50
"UCKearney",2019-06-11,48
"UCKearney",2019-06-12,48
"UCKearney",2019-06-13,48
"UCKearney",2019-06-14,47
"UCKearney",2019-06-15,47
"UCKearney",2019-06-16,48
"UCKearney",2019-06-17,48
"UCKearney",2019-06-18,48
"UCKearney",2019-06-19,48
"UCKearney",2019-06-20,47
"UCKearney",2019-06-21,47
"UCKearney",2019-06-22,46
"UCKearney",2019-06-25,44
"UCKearney",2019-06-26,44
"UCKearney",2019-06-27,44
"UCKearney",2019-06-28,46
"UCKearney",2019-06-29,49
"UCKearney",2019-06-30,48
"UCKearney",2019-07-01,47
"UCKearney",2019-07-02,47
"UCKearney",2019-07-03,48
"UCKearney",2019-07-04,46
"UCKearney",2019-07-05,46
"UCKearney",2019-07-06,48
"UCKearney",2019-07-07,48
"UCKearney",2019-07-08,48
"UCKearney",2019-07-09,45
"UCKearney",2019-07-10,44
"UCKearney",2019-07-11,47
"UCKearney",2019-07-12,46
"UCKearney",2019-07-13,47
"UCKearney",2019-07-15,47
"UCKearney",2019-07-16,45
"UCKearney",2019-07-17,47
"UCKearney",2019-07-18,48
"UCKearney",2019-07-19,48
"UCKearney",2019-07-20,48
"UCKearney",2019-07-21,49
"UCKearney",2019-07-22,48
"UCKearney",2019-07-23,47
"UCKearney",2019-07-24,48
"UCKearney",2019-07-25,48
"UCKearney",2019-07-26,48
"UCKearney",2019-07-27,48
"UCKearney",2019-07-28,49
"UCKearney",2019-07-29,47
"UCKearney",2019-07-30,49
"UCKearney",2019-07-31,48
"UCKearney",2019-08-01,48
"UCKearney",2019-08-02,49
"UCKearney",2019-08-03,48
"UCKearney",2019-08-04,48
"UCKearney",2019-08-05,48
"UCKearney",2019-08-06,49
"UCKearney",2019-08-07,48
"UCKearney",2019-08-08,48
"UCKearney",2019-08-09,46
"UCKearney",2019-08-10,48
"UCKearney",2019-08-11,47
"UCKearney",2019-08-12,49
"UCKearney",2019-08-13,49
"UCKearney",2019-08-14,48
"UCKearney",2019-08-15,48
"UCKearney",2019-08-16,49
"UCKearney",2019-08-17,47
"UCKearney",2019-08-18,48
"UCKearney",2019-08-19,48
"UCKearney",2019-08-20,48
"UCKearney",2019-08-21,48
"UCKearney",2019-08-22,48
"UCKearney",2019-08-23,48
"UCKearney",2019-08-24,48
"UCKearney",2019-08-25,48
"UCKearney",2019-08-26,48
"UCKearney",2019-08-27,48
"UCKearney",2019-08-28,47
"UCKearney",2019-08-29,48
"UCKearney",2019-08-30,47
"UCKearney",2019-08-31,48
"UCKearney",2019-09-01,47
"UCKearney",2019-09-02,48
"UCKearney",2019-09-03,48
"UCKearney",2019-09-04,43
"UCKearney",2019-09-05,46
"UCKearney",2019-09-06,50
"UCKearney",2019-09-07,48
"UCKearney",2019-09-08,48
"UCKearney",2019-09-09,48
"UCKearney",2019-09-11,48
"UCKearney",2019-09-12,49
"UCKearney",2019-09-13,48
"UCKearney",2019-09-14,48
"UCKearney",2019-09-15,48
"UCKearney",2019-09-16,48
"UCKearney",2019-09-17,48
"UCKearney",2019-09-18,47
"UCKearney",2019-09-19,47
"UCKearney",2019-09-20,48
"UCKearney",2019-09-21,48
"UCKearney",2019-09-22,47
"UCKearney",2019-09-23,48
"UCKearney",2019-09-24,46
"UCKearney",2019-09-25,48
"UCKearney",2019-09-26,44
"UCKearney",2019-09-27,48
"UCKearney",2019-09-28,44
"UCKearney",2019-09-29,48
"UCKearney",2019-09-30,47
"UCKearney",2019-10-01,48
"UCKearney",2019-10-02,48
"UCKearney",2019-10-03,48
"UCKearney",2019-10-04,48
"UCKearney",2019-10-05,48
"UCKearney",2019-10-06,43
"UCKearney",2019-10-07,43
"UCKearney",2019-10-08,44
"UCKearney",2019-10-09,48
"UCKearney",2019-10-10,48
"UCKearney",2019-10-11,48
"UCKearney",2019-10-12,47
"UCKearney",2019-10-13,47
"UCKearney",2019-10-14,48
"UCKearney",2019-10-15,48
"UCKearney",2019-10-16,47
"UCKearney",2019-10-17,47
"UCKearney",2019-10-19,48
"UCKearney",2019-10-20,44
"UCKearney",2019-10-21,48
"UCKearney",2019-10-22,48
"UCKearney",2019-10-23,47
"UCKearney",2019-10-24,46
"UCKearney",2019-10-25,47
"UCKearney",2019-10-26,47
"UCKearney",2019-10-27,44
"UCKearney",2019-10-28,46
"UCKearney",2019-10-29,44
"UCKearney",2019-10-30,47
"UCKearney",2019-10-31,47
"UCKearney",2019-11-01,47
"UCKearney",2019-11-02,48
"UCKearney",2019-11-03,48
"usda",2019-04-27,48
"usda",2019-04-28,48
"usda",2019-04-29,48
"usda",2019-04-30,49
"usda",2019-05-01,48
"usda",2019-05-02,48
"usda",2019-05-03,49
"usda",2019-05-04,48
"usda",2019-05-05,48
"usda",2019-05-06,48
"usda",2019-05-07,48
"usda",2019-05-08,48
"usda",2019-05-09,48
"usda",2019-05-10,47
"usda",2019-05-11,47
"usda",2019-05-12,48
"usda",2019-05-13,48
"usda",2019-05-14,48
"usda",2019-05-15,48
"usda",2019-05-16,49
"usda",2019-05-17,48
"usda",2019-05-18,48
"usda",2019-05-19,47
"usda",2019-05-20,48
"usda",2019-05-21,48
"usda",2019-05-22,46
"usda",2019-05-23,48
"usda",2019-05-24,48
"usda",2019-05-25,48
"usda",2019-05-26,48
"usda",2019-05-27,48
"usda",2019-05-28,46
"usda",2019-05-29,48
"usda",2019-05-30,47
"usda",2019-05-31,48
"usda",2019-06-01,48
"usda",2019-06-02,47
"usda",2019-06-03,48
"usda",2019-06-04,48
"usda",2019-06-05,49
"usda",2019-06-06,47
"usda",2019-06-07,47
"usda",2019-06-08,48
"usda",2019-06-09,48
"usda",2019-06-10,48
"usda",2019-06-11,48
"usda",2019-06-12,47
"usda",2019-06-13,47
"usda",2019-06-14,48
"usda",2019-06-15,47
"usda",2019-06-16,48
"usda",2019-06-17,48
"usda",2019-06-18,48
"usda",2019-06-19,48
"usda",2019-06-20,48
"usda",2019-06-21,48
"usda",2019-06-22,48
"usda",2019-06-23,48
"usda",2019-06-24,47
"usda",2019-06-25,47
"usda",2019-06-26,48
"usda",2019-06-27,48
"usda",2019-06-28,49
"usda",2019-06-29,48
"usda",2019-06-30,48
"usda",2019-07-01,47
"usda",2019-07-02,47
"usda",2019-07-03,49
"usda",2019-07-04,48
"usda",2019-07-05,48
"usda",2019-07-06,48
"usda",2019-07-07,47
"usda",2019-07-08,47
"usda",2019-07-09,50
"usda",2019-07-10,49
"usda",2019-07-11,48
"usda",2019-07-12,49
"usda",2019-07-13,48
"usda",2019-07-14,48
"usda",2019-07-15,48
"usda",2019-07-16,48
"usda",2019-07-17,48
"usda",2019-07-18,47
"usda",2019-07-19,48
"usda",2019-07-20,48
"usda",2019-07-21,49
"usda",2019-07-22,48
"usda",2019-07-23,50
"usda",2019-07-24,48
"usda",2019-07-25,48
"usda",2019-07-26,48
"usda",2019-07-27,47
"usda",2019-07-28,49
"usda",2019-07-29,48
"usda",2019-07-30,48
"usda",2019-07-31,47
"usda",2019-08-01,48
"usda",2019-08-02,48
"usda",2019-08-03,48
"usda",2019-08-04,48
"usda",2019-08-05,49
"usda",2019-08-06,48
"usda",2019-08-07,49
"usda",2019-08-08,48
"usda",2019-08-09,48
"usda",2019-08-10,47
"usda",2019-08-11,48
"usda",2019-08-12,49
"usda",2019-08-13,49
"usda",2019-08-14,48
"usda",2019-08-15,47
"usda",2019-08-16,49
"usda",2019-08-17,48
"usda",2019-08-18,49
"usda",2019-08-19,48
"usda",2019-08-20,49
"usda",2019-08-21,48
"usda",2019-08-22,48
"usda",2019-08-23,49
"usda",2019-08-24,48
"usda",2019-08-25,48
"usda",2019-08-26,47
"usda",2019-08-27,48
"usda",2019-08-28,48
"usda",2019-08-29,49
"usda",2019-08-30,48
"usda",2019-08-31,48
"usda",2019-09-01,47
"usda",2019-09-02,48
"usda",2019-09-03,48
"usda",2019-09-05,49
"usda",2019-09-06,49
"usda",2019-09-07,48
"usda",2019-09-08,48
"usda",2019-09-09,48
"usda",2019-09-11,48
"usda",2019-09-12,49
"usda",2019-09-13,48
"usda",2019-09-14,47
"usda",2019-09-15,48
"usda",2019-09-16,48
"usda",2019-09-17,48
"usda",2019-09-18,48
"usda",2019-09-19,48
"usda",2019-09-20,48
"usda",2019-09-21,48
"usda",2019-09-22,48
"usda",2019-09-23,49
"usda",2019-09-24,47
"usda",2019-09-25,48
"usda",2019-09-26,43
"usda",2019-09-27,46
"usda",2019-09-28,45
"usda",2019-09-29,49
"usda",2019-09-30,48
"usda",2019-10-01,49
"usda",2019-10-02,48
"usda",2019-10-03,48
"usda",2019-10-04,47
"usda",2019-10-05,47
"usda",2019-10-06,48
"usda",2019-10-07,48
"usda",2019-10-08,48
"usda",2019-10-09,47
"usda",2019-10-10,48
"usda",2019-10-11,48
"usda",2019-10-12,48
"usda",2019-10-13,48
"usda",2019-10-14,48
"usda",2019-10-15,48
"usda",2019-10-16,48
"usda",2019-10-17,47
"usda",2019-10-18,48
"usda",2019-10-19,47
"usda",2019-10-20,48
"usda",2019-10-21,48
"usda",2019-10-22,49
"usda",2019-10-23,47
"usda",2019-10-24,47
"usda",2019-10-25,48
"usda",2019-10-26,48
"usda",2019-10-27,48
"usda",2019-10-28,48
"usda",2019-10-29,48
"usda",2019-10-30,48
